Code,richness,MAT,MDR,ISO,TS,MTWM,MTCM,TAR,MTWetQ,MTDQ,MTCQ,MTWarmQ,WD,PET,MAP,PWM,PDM,PS,PWetQ,PDQ,PWarmQ,PCQ,MI,AET,ER,NVF,RMAT,RMAP,population,AOC,GDP
AL0,53,16.49305562,7.186111169,32.00912335,559.2149846,26.86666663,4.416666706,22.44999993,22.65000007,8.902777745,22.65000007,8.902777745,-88.75,1201.833333,1290.583333,245.0833333,19,80.37197765,694.9166667,68.83333333,694.9166667,68.83333333,7.38455138,979,338,2,0.445833385,13,471.9264069,946351.3118,372.7777778
QL1,22,15.48888889,7.508333299,31.9616408,576.5227287,26.25833321,2.766666691,23.49166652,21.86666669,7.684722212,21.86666669,7.684722212,-123.25,1161.833333,1285.083333,254.3333333,19.75,79.3432985,675.5833333,63.58333333,675.5833333,63.58333333,10.60823411,962.3333333,373,1,0.574999889,4,2371.397636,4603478.277,504.6666667
CH2,29,16.34041662,7.50083337,31.26650395,595.9480471,27.58999996,3.599999976,23.98999999,22.99499995,8.30333331,22.99499995,8.30333331,-163.9,1158.2,1322.1,256.1,15.6,81.34053587,714.3,62.6,714.3,62.6,14.15126921,995.3,363,2,0.479166756,6,914.8271484,986252.749,375
PZ3,23,13.86972226,8.015000117,35.61200698,531.0909228,24.586667,2.07999994,22.50666706,19.76111121,6.703333296,19.76111121,6.703333296,-4.46666666,1164.466667,1168.933333,239.0666667,16,83.44657081,631.3333333,52.4,631.3333333,52.4,0.383580465,881.4,248,2,0.558333218,18,3440.743271,2382162.719,1131.777778
ZF4,33,18.21215275,7.61458338,32.25478599,586.1911506,29.06666676,5.458333333,23.60833343,24.64722215,10.28750001,24.64722215,10.28750001,-56.5,1205.75,1262.25,248,16.08333333,79.15498967,664.8333333,62.25,664.8333333,62.25,4.685880158,1019.833333,519,1,1.250000099,15,929.0587845,3863166.352,616.5555556
ZY5,57,15.1625,6.927083377,28.46252192,624.4335959,26.51250005,2.174999975,24.33750007,22.31041664,6.883333312,22.31041664,6.883333312,-130.4375,1103.625,1234.0625,238.5,18,75.60588408,621.0625,62.9375,621.0625,62.9375,11.81900555,989.875,409,3,0.654166336,13,989.4599304,0,213
WM6,60,18.86458333,8.183333354,33.69741587,581.6235279,30.20833349,5.925000032,24.28333346,25.30555558,11.02916671,25.30555558,11.02916671,-26.41666666,1208.416667,1234.833333,233.5,14.75,77.71206245,635.25,59.5,635.25,59.5,2.186056134,1007.833333,604,3,1.124999881,5,521.1955986,1000000,159.4444444
WM7,76,16.49062498,7.515972219,30.22419495,624.0673813,28.27499994,3.408333321,24.86666662,23.58749991,8.170833346,23.58749991,8.170833346,-99.08333333,1144.5,1243.583333,238,15.5,77.58345533,641.6666667,59.58333333,641.6666667,59.58333333,8.65734673,1003.583333,679,2,1.233333369,11,623.4650383,769174.9277,154.4444444
PA8,36,14.60046297,7.537963042,33.418975,548.3713675,24.90000004,2.344444434,22.55555561,20.61851848,7.140740765,20.61851848,7.140740765,-77.44444445,1167.333333,1244.777778,245.1111111,19.44444444,80.39941678,661.7777778,62.33333333,661.7777778,62.33333333,6.634304208,922.2222222,602,1,0.837500026,19,1197.052643,1930215.292,409.6666667
GL9,22,16.06874999,7.552777805,31.11326639,601.3809247,27.2750001,2.99999998,24.27500012,22.82777784,7.987499969,22.82777784,7.987499969,-62.66666667,1156.583333,1219.25,241.8333333,18.25,78.10618233,630.3333333,61.25,630.3333333,61.25,5.4182578,986.3333333,675,1,0.887500038,17,933.9225731,3648707.64,477
XR10,22,15.04999998,7.369444453,31.27082927,586.427253,25.88333337,2.316666663,23.5666667,21.58750002,7.163888839,21.58750002,7.163888839,-148.4166667,1139.916667,1288.333333,252,18.58333333,78.87595545,674.1666667,62.83333333,674.1666667,62.83333333,13.0199576,959,275,2,0.412500093,5,1475.509888,1734005.599,601.4444444
PZ11,18,15.20833329,8.397222256,36.87075449,532.5421678,25.75833321,2.983333309,22.7749999,20.98194431,7.973611126,20.98194431,7.973611126,11,1207.25,1196.25,237.6666667,18.83333333,81.59935826,644.5833333,59.91666667,644.5833333,59.91666667,-0.911161731,924.6666667,526,1,1.425000052,13,1270.150497,1805956.666,1098.111111
ZY12,57,15.9144231,7.392948739,29.30114432,639.6765619,27.70000018,2.46923078,25.2307694,22.17307697,7.433333394,23.23717959,7.433333394,-91.92307692,1119.769231,1211.692308,232.3076923,17.46153846,74.6292776,603.9230769,62.07692308,600.2307692,62.07692308,8.209109019,1005.076923,222,2,0.312500109,6,3379.286049,81496.09498,230.7777778
QL13,3,14.19791666,7.670833338,33.25944163,559.7405015,24.91428566,1.84999999,23.06428567,20.40952378,6.634523812,20.40952378,6.634523812,-125.7857143,1139.785714,1265.571429,250,19.42857143,79.90827893,668.0714286,62.28571429,668.0714286,62.28571429,11.035909,917.8571429,589,2,1.558333168,29,831.2670975,2460416.979,386.5555556
PZ14,29,13.51291665,8.192500004,37.54627302,496.1902647,24.01000004,2.189999998,21.82000004,19.025,6.811666606,19.025,6.811666606,68.4,1181.6,1113.2,222.9,13.1,84.38577401,608,46.1,608,46.1,-5.788761002,857.3,373,3,1.191666782,18,3430.115295,3079913.135,982.4444444
SC15,18,14.07534722,7.639583381,30.77370289,612.5368511,25.42500003,0.600000003,24.82500003,21.03194439,5.859722207,21.03194439,5.859722207,-35.91666667,1092.583333,1128.5,223,17.66666667,77.36092889,573.1666667,55.83333333,573.1666667,55.83333333,3.287315995,914.5,515,2,1.150000038,11,2385.07975,1447567.13,562.4444444
XX16,14,14.67395838,7.289583391,28.67072188,651.1244643,26.53333346,1.108333359,25.4250001,21.02083345,6.124999988,22.16111125,6.124999988,-93.5,1087.833333,1181.333333,227.4166667,17.91666667,74.0823168,584.4166667,60.58333333,579.4166667,60.58333333,8.595066646,980.25,179,1,0.375000094,7,21326.40143,1835482.466,1781
LZ17,18,15.1055555,7.572222242,30.62931015,612.8788272,26.55555556,1.833333307,24.72222225,22.05925917,6.93148145,22.05925917,6.93148145,-58,1123.555556,1181.555556,232.8888889,18.11111111,76.68597415,598.3333333,59.66666667,598.3333333,59.66666667,5.162183544,963.3333333,293,2,0.58333313,8,6358.125366,3849712.988,869.2222222
CH18,29,16.44305556,7.613888899,31.75786433,593.5229521,27.76666673,3.791666667,23.97500006,23.07777781,8.448611114,23.07777781,8.448611114,-144.8333333,1167.916667,1312.75,252.0833333,14.75,82.29261967,715.8333333,60.83333333,715.8333333,60.83333333,12.40099893,992,431,1,0.691666543,7,919.9725876,1566426.526,155.6666667
ZF19,29,16.04062502,7.68402771,31.67589429,597.6476285,27.44166644,3.183333337,24.25833311,22.73611122,8.002777785,22.73611122,8.002777785,-151.25,1154.25,1305.5,254.8333333,17.75,79.53213465,690.4166667,64.5,690.4166667,64.5,13.10374702,989.3333333,463,2,0.712499857,3,1271.928535,5550638.051,612.3333333
GL20,11,16.04629631,7.687036989,31.17778421,610.8021895,27.62222184,2.966666619,24.65555522,22.95740732,7.872222216,22.95740732,7.872222216,-116,1147.555556,1263.555556,248.4444444,18.22222222,78.01245721,654.2222222,63.44444444,654.2222222,63.44444444,10.10844307,996.5555556,349,1,0.458333323,6,11548.63016,4235907.696,496.4444444
SC21,29,10.72916664,7.794444409,34.00048979,541.0147984,21.66666651,-1.258333338,22.92499985,16.96111106,3.544444442,16.96111106,3.544444442,-120.25,1000,1120.25,218.8333333,15.25,81.5385907,590.8333333,46.83333333,590.8333333,46.83333333,12.025,825.3333333,684,2,1.229166636,6,1537.297737,662764.586,519.6666667
WM22,55,17.96979165,7.618749996,30.89690261,617.1996762,29.64166657,4.983333349,24.65833322,25.00833329,9.752777749,25.00833329,9.752777749,-74.08333333,1180.416667,1254.5,241.6666667,13.58333333,80.71777361,673,57.66666667,673,57.66666667,6.276032474,1005.833333,475,2,1.020833174,9,798.3077087,0,149
CH23,18,19.44393938,7.456060514,32.96262022,552.2828343,29.93636339,7.318181818,22.61818158,25.58030302,12.00757569,25.58030302,12.00757569,29.54545455,1258.818182,1229.272727,242.4545455,8.636363636,86.4060303,696.5454545,47.72727273,696.5454545,47.72727273,-2.34707879,964.4545455,622,2,1.266666611,25,263.8188286,0,130.4444444
ZF24,41,17.34537036,7.931481447,31.71132038,615.5177478,29.18888876,4.177777794,25.01111097,24.3092592,9.101851839,24.3092592,9.101851839,-81,1173.444444,1254.444444,246,17.11111111,78.37655696,654.2222222,62.66666667,654.2222222,62.66666667,6.902755421,1016.444444,677,1,1.229166418,35,1211.186371,1616601.409,623.4444444
AL25,57,17.08368052,7.192361083,32.09406456,557.2894957,27.40000025,4.991666675,22.40833358,23.23472224,9.513888902,23.23472224,9.513888902,-72.41666667,1219.5,1291.916667,246.75,18.08333333,80.97383027,699.5833333,68.41666667,699.5833333,68.41666667,5.938226049,991.75,735,2,1.866666595,24,752.408699,0,275
ZF26,13,15.99775639,7.35833334,31.06746373,589.8904705,26.91538444,3.230769231,23.68461521,22.56025637,8.0320513,22.56025637,8.0320513,-155.4615385,1153.538462,1309,254.5384615,17.76923077,79.61619722,693.3846154,63.84615385,693.3846154,63.84615385,13.47692718,988.9230769,521,1,0.937500119,6,1675.658333,3592852.626,615.6666667
ZN27,0,18.70902779,8.118055506,32.61350494,608.1863045,30.3416667,5.449999928,24.89166677,25.52638891,10.52916665,25.52638891,10.52916665,-22.08333333,1192.666667,1214.75,238.9166667,16,77.61073714,624.9166667,61,624.9166667,61,1.851593068,1009.083333,314,2,0.616666635,5,835.4055672,2160328.762,425.8888889
ZY28,49,16.53901513,7.378030282,29.02642138,649.5799769,28.527273,3.109090935,25.41818207,22.85303026,7.971212076,24.01969693,7.971212076,-84,1131.727273,1215.727273,229.4545455,18,73.94693145,607.5454545,65,596.8181818,65,7.422282914,1013,547,1,0.683333397,12,1034.606979,2510289.943,296.8571429
SC29,36,13.81602565,7.547435935,33.695497,542.5672625,24.20000003,1.799999998,22.40000003,19.94999998,6.561538427,19.94999998,6.561538427,44.6923077,1142.615385,1097.923077,222.5384615,15,82.81509562,585.8461538,47.23076923,585.8461538,47.23076923,-3.911404336,872.6923077,992,3,3.083333485,12,1645.28672,2266942.966,547.875
SC30,20,11.91927083,7.967708326,32.38915723,587.3959691,23.51250029,-1.087499991,24.60000028,18.69166668,4.070833322,18.69166668,4.070833322,-15,1023.25,1038.25,203.25,14.375,80.23235303,537.75,44.375,537.75,44.375,1.46591742,836.25,254,3,0.47083343,4,740.9141846,1287089.97,535.7142857
PZ31,25,13.90454548,7.733333418,34.87815418,529.8516602,24.26363668,2.090909069,22.17272761,19.74242426,6.719696955,19.74242426,6.719696955,-39.36363637,1164.454545,1203.818182,241.1818182,16,82.99134386,650.8181818,53,650.8181818,53,3.380435632,890.5454545,366,3,0.600000128,19,2400.276123,3941878.985,1188.666667
